category,city,reason,recommendation
stay_home,Питляр,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Энгельс,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Энгельс,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Энгельс,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Sannikov Strait,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Sannikov Strait,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Sannikov Strait,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Segyan-Kyel,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Segyan-Kyel,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Segyan-Kyel,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Sebyan-kyuel,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Sebyan-kyuel,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Сарыг-Сеп,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Сарыг-Сеп,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Сёяха,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Сёяха,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Сёяха,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Среднеколымск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Среднеколымск,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Srednyaya Olyokma,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Srednyaya Olyokma,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Srednyaya Olyokma,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Suhana,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Suontit,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Suontit,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Suontit,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тамбей,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тамбей,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тамбей,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тарко-Сале,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тарко-Сале,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тарко-Сале,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тазовский,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тазовский,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тазовский,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tegyulta-Terde,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tegyulta-Terde,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tegyulta-Terde,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tiksi (airport),"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tiksi (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Tiksi (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Томмот,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Томмот,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Томмот,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тонгулах,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тонгулах,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тунгокочен,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тунгокочен,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тунгокочен,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тупик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тупик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тупик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тупик,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тюнярь,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тюнярь,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Тюнярь,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Uryupino,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ust-Karsk,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Усть-Нера,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Усть-Нера,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Усугли,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Усугли,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Verkhoyanskiy Perevoz,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Якутск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Якутск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Якутск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ытык-Кюёль,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ытык-Кюёль,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ытык-Кюёль,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Юрты,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Юрты,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Юрты,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Юрты,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Жиганск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Жиганск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Жиганск,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Зырянка,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Зырянка,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
special,Некоторые города,обнаружены осадки,Рекомендовать туристам взять зонт/дождевик
special,Холодные регионы,отрицательная температура,Рекомендовать теплую одежду
